No,Species,Common Name,Season,Size,Habitat,Altitude,Family,Sub-family,Tribe,Genus,Image,Photographer
219,Udaspes folus,Grass Demon,Feb-Oct,40-48,Gardens and forests,upto 2400,Hesperiidae,Hesperiinae,Aeromachini,Udaspes,"Grass_Demon,_Udaspes_folus.jpg",Hibu Tatu
220,Ancistroides nigrita,Chocolate Demon,Mar-Dec,48-60,Forest edges,upto 1200,Hesperiidae,Hesperiinae,Aeromachini,Ancistroides,"Narrow-Banded_Velve_Bob,_Koruthaiala_rubecula_cachara.jpg",Tater Mize
221,Halpe sikkima,Sikkim Ace,Apr-Oct,29-35,Hill forests,Low elevations,Hesperiidae,Hesperiinae,Aeromachini,Halpe,Sikkim_Ace._Halpe_sikkima_Moore.jpg,Tater Mize
222,Sovia lucasii,Lucas' Ace,Apr-Oct,34-36,Hill forests,upto 2100,Hesperiidae,Hesperiinae,Aeromachini,Sovia,DSC_7447.jpg,Punyo Chada
223,Sovia separata,Chequered Ace,Mar-May,30-35,"Wetlands, grasslands",2000,Hesperiidae,Hesperiinae,Aeromachini,Sovia,1743577225_Chequered Ace Sovia separata.jpg,Rohit George
224,Sovia malta,Manipur Ace,Mar-May,30-35,"Wetlands, grasslands",2000,Hesperiidae,Hesperiinae,Aeromachini,Sovia,1743665240_manipur ace - e.JPG,Punyo Chada
225,Polytremis discreta,Himalayan Swift,Apr-Nov,34-42,hill forest,upto 3000,Hesperiidae,Hesperiinae,no_tribe,Polytremis,Yellow_Spot_Swift._Polytremis_eltola_(Hewitson).jpg,Punyo Chada
226,Pelopidas subochracea,Large Branded Swift,Mar-Nov,38-42,Forests,upto 2400,Hesperiidae,Hesperiinae,Baorini,Pelopidas,DSCN1437.jpg,Punyo Chada
227,Pelopidas assamensis,Great Swift,Jan-Nov,42-60,Forests,upto 1770,Hesperiidae,Hesperiinae,Baorini,Pelopidas,DSCN0029.jpg,Punyo Chada
228,Pelopidas sinensis,Chinese Swift,Feb-Nov,35-40,Forest fringes,upto 2400,Hesperiidae,Hesperiinae,Baorini,Pelopidas,IMG_20190513_000754.jpg,Punyo Chada
229,Pelopidas mathias,Small Branded Swift,Mar-Nov,32-38,"Grasslands, scrubs and forest edges",upto 2250,Hesperiidae,Hesperiinae,Baorini,Pelopidas,"Small_Branded_Swift,_Pelopidas_mathias_(Fabricuis)_e.jpg",Punyo Chada
230,Pelopidas conjuncta,Conjoined Swift,Jul-Nov,45-52,Forest Edges,upto 1200,Hesperiidae,Hesperiinae,Baorini,Pelopidas,IMG_6824_e.jpg,Hibu Tatu
231,Caltoris cahira,Colon Swift,Mar-Dec,34-42,Hill forests,upto 1680,Hesperiidae,Hesperiinae,Baorini,Caltoris,"Tufted_swift,_Caltoris_plebeia-h.jpg",Punyo Chada
232,Choaspes benjaminii,Indian Awlking,Mar-Nov,50-60,Forests,300-2400,Hesperiidae,Hesperiinae,Coeliadinae,Choaspes,Indian_Awlking_e.jpg,Mohan Prasath
233,Sebastonyma dolopia,Tufted Ace,May-Oct,32-34,Forests,upto 1170,Hesperiidae,Hesperiinae,Astictopterini,Sebastonyma,1743489902_c5d8b1dd-570f-433f-97ba-17d62ec9b5a3.jpeg,Punyo Chada
234,Oriens goloides,Indian Dartlet,Jan-Nov,24-28,Forests,400-1600,Hesperiidae,Hesperiinae,Taractrocerini,Oriens,DSCN0499.jpg,Punyo Chada
235,Erionota apex,White-tipped Palm-Redeye,Year round,30-35,"Forests, grasslands",100-1500,Hesperiidae,Hesperiinae,no_tribe,Erionota,1743593499_DSC_7146_e.JPG,Punyo Chada
236,Celaenorrhinus pero,Mussoorie Spotted Flat,Aug-Oct,50-65,hill forest,1500-2000,Hesperiidae,Pyrginae,no_tribe,Celaenorrhinus,1744614038_Celaenorrhinus pero lucifera.jpg,Monsoon Jyoti Gogoi
237,Celaenorrhinus pulomaya,Multi-spotted Flat,Jul-Oct,50-60,Hill Forests,1500-2000,Hesperiidae,Pyrginae,Celaenorrhinini,Celaenorrhinus,multi_spotted_flat.jpg,Punyo Chada
238,Celaenorrhinus ratna,Tytlers Multi-spotted Flat,May-Oct,40-45,Hill forests,1550-2600,Hesperiidae,Pyrginae,Celaenorrhinini,Celaenorrhinus,IMG_5873.jpg,Monsoon Jyoti Gogoi
239,Celaenorrhinus plagifera,De Niceville's Spotted Flat,Aug-Oct,50-65,Hill Forests,1900-2000,Hesperiidae,Pyrginae,Celaenorrhinini,Celaenorrhinus,1744614341_Celaenorrhinus plagifera.jpg,Monsoon Jyoti Gogoi
240,Coladenia agni,Brown Pied Flat,Mar-Oct,35-40,Forests,Low elevations,Hesperiidae,Pyrginae,Tagiadini,Coladenia,IMG_6321_e.jpg,Hibu Tama
241,Celaenorrhinus pyrrha,Double-spotted Flat,Apr-Oct,45-55,Hill forests,2000-3000,Hesperiidae,Pyrginae,Pyrginae,Celaenorrhinus,hesperiid_butterfly.jpg,Punyo Chada
242,Bibasis sena,Orange-tail Awl,Jan-Nov,40-50,forest,upto 1500,Hesperiidae,Coeliadinae,no_tribe,Bibasis,1744689125__MG_4810.jpeg.jpg,Monsoon Jyoti Gogoi
243,Hasora vitta,Plain Banded Awl,Mar-Nov,45-55,Forests,upto 2000,Hesperiidae,Coeliadinae,no_tribe,Hasora,"Plain_Banded_Awl,_Hasora_vitta.jpg",Punyo Chada
244,Hasora anura,Slate Awl,Mar-Dec,50-55,forest,200-2100,Hesperiidae,Coeliadinae,no_tribe,Hasora,1743577984_Slate awlet.jpg,Punyo Chada
245,Burara amara,Small Green Awlet,Mar-Nov,40-48,forest,200-1635,Hesperiidae,Coeliadinae,no_tribe,Burara,"Small_Green_Awlet,_Bibasis_amara.jpg",Punyo Chada
246,Burara striata,Fluted Awlet,Mar-May,30-35,Deciduous forests,100-200,Hesperiidae,Coeliadinae,no_tribe,Burara,1743593780_Awlet flutet_e.JPG,Punyo Chada
247,Darpa hanria,Hairy Angle,Mar-Sep,34-36,hill forest,300-1800,Hesperiidae,Tagiadinae,Tagiadini,Darpa,1743505373_hairy angle_e - Chada_s.JPG,Punyo Chada
248,Seseria sambara,Sikkim White Flat,Jan-Nov,45-55,hill forest,Low elevations,Hesperiidae,Tagiadinae,Tagiadini,Seseria,1743595819_DSC_7230_e.JPG,Punyo Chada
